v6.3.0 -#- 2023-01-26 14:23:19 -0500 -#- CBRAIN Team -#- __cbrain-plugins-neuro_TAG__
360993c6eb23c42f109ef2ebd2b8f38b446a125c -#- 2023-01-24 14:34:53 -0500 -#- Natacha Beck -#- __cbrain-plugins-neuro_HEAD__
f3d83a34bfdc5b5ce84870de7fe331765a1d012e -#- 2016-07-13 09:49:19 -0400 -#- natacha-beck -#- README.md
d50c15211d849d8ae45601c02bb20880df1364e9 -#- 2017-05-16 15:12:19 -0400 -#- Natacha Beck -#- bin/fsl_sub
1a078d78a805f37420c5d28ef616c43bc0bfc70d -#- 2021-06-14 15:18:28 -0400 -#- Pierre Rioux -#- bin/mk_fake_bids
46f873c3dfa46c817b3de68d8260959c82022f78 -#- 2021-11-25 11:42:22 -0500 -#- Natacha Beck -#- boutiques_descriptors/Melodic_fsl.json
2a95c1137091c4145506e74f4a11066801472b15 -#- 2022-09-06 17:36:25 -0400 -#- Pierre Rioux -#- boutiques_descriptors/acapulco.json
49fab2896f80237048f04611ca67772922c204ec -#- 2022-10-24 12:09:21 -0400 -#- Natacha Beck -#- boutiques_descriptors/bigbrainwarp-august-2022.json
b73880e8ddb66cb95043b25adc949adcdbee30e2 -#- 2022-01-31 18:55:31 -0500 -#- Natacha Beck -#- boutiques_descriptors/cbellum.json
73aaf80ee5a2c5fc083def243145a0ec2f6f6bfa -#- 2022-12-02 11:50:47 -0500 -#- Darius Valevicius -#- boutiques_descriptors/explore-asl.json
7368293f7ba97c9a4bff174fb920c888044dac02 -#- 2022-09-13 17:09:52 -0400 -#- Pierre Rioux -#- boutiques_descriptors/fmriprep_bids_subject_21_0_0.json
f82ddcf369a8aee234701570475a2beea257b1ae -#- 2022-12-07 12:54:52 -0500 -#- Pierre Rioux -#- boutiques_descriptors/fmriprep_bids_subject_22_0_2.json
7368293f7ba97c9a4bff174fb920c888044dac02 -#- 2022-09-13 17:09:52 -0400 -#- Pierre Rioux -#- boutiques_descriptors/freesurfer_recon_all_7_1_1.json
dc3df255ddf564c5074be206372a68d29b21e2e3 -#- 2022-12-14 16:50:17 -0500 -#- Pierre Rioux -#- boutiques_descriptors/freesurfer_recon_all_7_2_0.json
f7abf7015ca93295157c40727f9e5d7875ceda11 -#- 2022-07-29 15:06:06 -0400 -#- Ali Khan -#- boutiques_descriptors/hippunfold_1_0_0.json
f7abf7015ca93295157c40727f9e5d7875ceda11 -#- 2022-07-29 15:06:06 -0400 -#- Ali Khan -#- boutiques_descriptors/hippunfold_1_1_0.json
6c224945290a3d27ae9bc3ec78a16dbe53c23b07 -#- 2022-12-19 13:15:34 -0500 -#- Pierre Rioux -#- boutiques_descriptors/hippunfold_1_2_0.json
73aaf80ee5a2c5fc083def243145a0ec2f6f6bfa -#- 2022-12-02 11:50:47 -0500 -#- Darius Valevicius -#- boutiques_descriptors/oxford_asl.json
73aaf80ee5a2c5fc083def243145a0ec2f6f6bfa -#- 2022-12-02 11:50:47 -0500 -#- Darius Valevicius -#- boutiques_descriptors/physio_cbrain.json
0a90979f353b7b5d9c6c6201d3cbbc623795113f -#- 2021-02-26 10:56:58 -0500 -#- Pierre Rioux -#- cbrain_file_revisions.csv
e3c31f9d63bde5b8239550878e972659a48b0207 -#- 2019-02-13 19:06:46 -0500 -#- Pierre Rioux -#- cbrain_task/bids_app_handler/bids_app_descriptors/README.txt
bb1aea4910bede4c5737bab78bb4768f172c8221 -#- 2022-02-17 09:45:30 -0500 -#- Pierre Rioux -#- cbrain_task/bids_app_handler/bourreau/bids_app_handler.rb
c2c322dac947c23db838d72cc0549a5fca8ba7e6 -#- 2019-07-10 17:01:14 -0400 -#- Pierre Rioux -#- cbrain_task/bids_app_handler/common/bids_app_handler.rb
5e28be1738ba5f9f00ad705bfb8fcef450745508 -#- 2019-09-10 15:20:33 -0400 -#- Pierre Rioux -#- cbrain_task/bids_app_handler/portal/bids_app_handler.rb
8d4b2170db7643173051b4525db60fb8a378e531 -#- 2019-12-09 14:28:03 -0500 -#- Pierre Rioux -#- cbrain_task/bids_app_handler/views/_show_params.html.erb
c2c322dac947c23db838d72cc0549a5fca8ba7e6 -#- 2019-07-10 17:01:14 -0400 -#- Pierre Rioux -#- cbrain_task/bids_app_handler/views/_task_params.html.erb
43b3ee79779f54cb2d3d23daccbfffd8a13091cf -#- 2019-03-19 16:24:39 -0400 -#- Pierre Rioux -#- cbrain_task/bids_app_handler/views/_task_params_0_pipeline.html.erb
402fd19cd3e7a28a75768e9c3a479edf3034f2dd -#- 2019-03-05 17:39:46 -0500 -#- Pierre Rioux -#- cbrain_task/bids_app_handler/views/_task_params_1_sessions.html.erb
5e28be1738ba5f9f00ad705bfb8fcef450745508 -#- 2019-09-10 15:20:33 -0400 -#- Pierre Rioux -#- cbrain_task/bids_app_handler/views/_task_params_2_participants.html.erb
43b3ee79779f54cb2d3d23daccbfffd8a13091cf -#- 2019-03-19 16:24:39 -0400 -#- Pierre Rioux -#- cbrain_task/bids_app_handler/views/_task_params_output_renaming.html.erb
